volume	part	number	page	auth	titl	oreg	odat	id	dreg	claimants	previous	new_matter	see_also_ren	see_also_reg	note	full_text
				Charles Singer.	A History of biology; a general introduction to the study of living things.|The Story of living things	A42179	1950-03-21	RE9390	1978-12-14	Charles Singer|A					Originally pub. as The Story of living things, 15Sep31.	
				Arthur Joyce Lunel Cary.	The Horse's mouth; a novel.	A40311	1950-01-25	RE9653	1978-10-23	Lucius Cary|NK	Pub. abroad|1944-08-28|AI-1553					
				Daphne Rooke.	A Grove of fever trees.|The Sea hath bounds.	A41606	1950-02-28	RE4070	1978-06-19	Daphne Rooke|A					Pub. 19Dec46 under the title, The Sea hath bounds.	
				Tony Brice, pseud. of Helen Evers.	My own book.	AA145551	1949-10-17	RE4741	1978-07-10	Rand McNally & Company|PWH						
				Delano Ames.	Murder begins at home.	A40910	1950-02-09	RE2349	1978-04-17	Delano Ames|A	Pub. abroad|1949-06-07|AI-2334					
				Ernest Robertson Punshon.	So many doors.	A40841	1950-02-14	RE15104	1978-12-26	Sarah Hartley|E	Pub. abroad|1949-05-16|AI-2439					
				Archie Robertson.	That old time religion.	A41604	1950-02-21	RE3952	1978-06-21	Amy R. Previs|C||Martin Robertson|C	Prev. reg.|1949-06-10|B200733				renewed R658417.	
				Richard Mason, translation by Edmund Th. Kauer.	Schatten ueber den blauen Bergen.	AFO1742	1950-01-01	RE49132	1978-12-29	Paul Zsolnay Verlag|PWH						
					Life.  Vol. 8, no. 1.	B225201	1950-01-01	RE4158	1978-06-29	Time, Inc.|PCW						
				Luigi Pirandello.	L'Uomo, la bestia e la virtu.	DP164	1950-01-01	RE11837	1978-12-26	Stefano Pirandello|C||Fausto Pirandello|C||Lietta Pirandello|C						
				Luigi Pirandello.	L'Innesto; comedia in tre atti.	DP166	1950-01-01	RE11838	1978-12-26	Stefano Pirandello|C||Fausto Pirandello|C||Lietta Pirandello|C						
					Controlled regional base map.  No. U-6.	F7248	1950-01-01	RE486	1978-02-13	Muldrow Aerial Surveys, Inc.|PWH						
					Controlled regional base map.  No. U-7.	F7249	1950-01-01	RE487	1978-02-13	Muldrow Aerial Surveys, Inc.|PWH						
					Controlled regional base map.  No. U-8.	F8599	1950-01-01	RE488	1978-02-13	Muldrow Aerial Surveys, Inc.|PWH						
				Wilfred Eberhart, Irma Dick Swearingen & Bernice E. Leary.	Your world.	A40411	1950-01-02	RE9960	1978-12-22	Wilfred Eberhart|A						
				Wilfred Eberhart, Irma Dick Swearingen & Bernice E. Leary.	Your life.	A40412	1950-01-02	RE9961	1978-12-22	Wilfred Eberhart|A						
				Wilfred Eberhart, Irma Dick Swearingen & Bernice E. Leary.	Your country.	A40413	1950-01-02	RE9962	1978-12-22	Wilfred Eberhart|A						
				Margaret Leighton.	Captain John Smith.	A40414	1950-01-02	RE9706	1978-12-14	Harper & Row, Publishers, Inc.|PWH						
				Ruth Cromer Weir.	Christopher Columbus.	A40415	1950-01-02	RE9707	1978-12-14	Harper & Row, Publishers, Inc.|PWH						
				Vesta E. Condon.	Hernando DeSoto.	A40416	1950-01-02	RE9933	1978-12-22	Frances Cavanah|PWH						
				Jeannette Covert Nolan.	LaSalle.	A40417	1950-01-02	RE7544	1978-10-30	Alan T. Nolan|C||Val Nolan, Jr.|C||Kathleen Nolan Lobley|C						
				Caroline D. Emerson.	Peter Stuyvesant.	A40418	1950-01-02	RE9708	1978-12-14	Harper & Row, Publishers, Inc.|PWH						
