entry_id	volume	part	number	page	auth	titl	oreg	odat	id	dreg	claimants	previous	new_matter	see_also_ren	see_also_reg	note	full_text
07ed2006-2f1c-31bd-4870-59486e57c1e5					George L. Bird.	Article writing and marketing.	A229286	1956-03-20	RE206720	1984-02-27	George L. Bird|A					1st ed. pub. 12Jan48.	
a9296da6-dec4-916d-db01-4f5094ea0571					Albert Dorne & Edwin Eberman.	How to make money in commercial art and illustration.|How to make money in commercial art, illustration, and cartooning.	A247468	1956-07-26	RE208839	1984-07-16	Cortina Learning International, Inc.|PWH	Originally pub.|1952-06-20|A218368				under title: How to make money in commercial art and illustration	
92b689cc-5729-7c18-7a01-bdd068cce79d					John Creasey.	A Beauty for Inspector West|The Beauty queen killer.	A229690	1956-03-28	RE225098	1984-11-29	Diana Creasey|W||Colin John Creasey|C||Martin John Creasey|C||Richard John Creasey|C	Pub. abroad as A Beauty for Inspector West,|1954-08-12|AIO-4467				renewed RE 144-272.	
be06bb74-c524-0eac-ce5e-63f582dd6008					Bela Bartok, introductory notes and English translation of libretto: Peter Bartok d.b.a. Bartok Records.	Bluebeard's castle; opera in one act to the libretto of Bela Balazs.  Op. 11.	A745213	1955-01-01	RE194019	1984-01-03	Bartok Records|A						
52074917-ac78-2d74-9e09-3a1de78b54ec					Waldo W. Braden & Earnest Brandenburg.	Oral decision making: principles of discussion and debate.	A167507	1955-01-05	RE188995	1984-01-03	Waldo W. Braden|A||Louree Brandenburg Clem|W						
3e126ae3-062d-8511-86ef-fb3f656e6e74					J. B. Phillips.	When God was man.	A169297	1955-01-10	RE188913	1984-01-03	J. B. Phillips|A						
c5360da1-4c94-51fb-2e36-ea72a86225c7					Charles M. Laymon.	The Life and teachings of Jesus.	A169301	1955-01-10	RE188914	1984-01-03	Charles M. Laymon|A						
1b0f8e4c-4868-8e4c-181a-b3bd8140c559					Jesse Irvin Overholtzer.	Teacher's introductory Bible studies.	A177532	1955-01-20	RE188991	1984-01-03	Child Evangelism Fellowship, Inc.|PWH						
189a0dab-20da-73ce-6eff-3a5a243f97e7						American journal of international law.  Vol. 49, no. 1, Jan. 1955.	B517041	1955-01-26	RE188931	1984-01-03	American Society of International Law|PCW						
8627081c-b2d4-e272-e19e-fc7a2fe69248					J. Irvin Overholtzer.	Handbook on child evangelism.	A177531	1955-02-01	RE188990	1984-01-03	Child Evangelism Fellowship, Inc.|PWH						
