volume	part	number	page	auth	titl	oreg	odat	id	dreg	claimants	previous	new_matter	see_also_ren	see_also_reg	publ	note	full_text
					Personnel envelo-file.	A545711	1963-01-01	RE584730	1991-12-24	V. W. Eimicke Associates, Inc.|PWH							
				Raymond F. Cottrell, employee for hire of Southern Publishing Association.	Beyond tomorrow.	A599939	1963-01-01	RE575064	1991-12-27	Review and Herald Publishing Association|PWH							
				Jerome Lloyd Greenberg.	Adventures of a reefcomber.	A607431	1963-01-01	RE522376	1991-01-28	Jerry Greenberg|A							
					Casper and Wendy.	A609934	1963-01-01	RE594287	1991-12-17	Harvey Famous Cartoons|PWH							
				Carolyn Keene, pseud.	The Moonstone Castle mystery.	A621455	1963-01-01	RE549847	1991-10-31	Simon & Schuster, Inc.|PWH							
				Franklin W. Dixon, pseud.	The Viking symbol mystery.	A621456	1963-01-01	RE549848	1991-10-31	Simon & Schuster, Inc.|PWH							
				Laura Lee Hope, pseud.	The Bobbsey twins and the big river mystery.	A621458	1963-01-01	RE549849	1991-10-31	Simon & Schuster, Inc.|PWH							
				Carolyn Keene, pseud.	The Secret of Lost Lake.	A621459	1963-01-01	RE549850	1991-10-31	Simon & Schuster, Inc.|PWH							
				Dan Scott.	The Phantom of Wolf Creek.	A621461	1963-01-01	RE549851	1991-10-31	Simon & Schuster, Inc.|PWH							
				Manly P. Hall.	The Alchemy of happiness.	A627313	1963-01-01	RE537415	1991-07-30	Philosophical Research Society, Inc.|PWH							
				Victor Appleton 2nd.	Tom Swift and the asteroid pirates.	A634927	1963-01-01	RE549852	1991-10-31	Simon & Schuster, Inc.|PWH							
					Drawing the head and figure.  Text and ill. by Jack Hamm.	A640086	1963-01-01	RE527696	1991-03-07	Jack Hamm|A							
				May Theilgaard Watts.	Master tree finder.	A879945	1963-01-01	RE565830	1991-12-23	Tom Theilgaard Watts|C							
					Chicago daily tribune.  Vol. 122, no. 1, Jan. 1, 1963.	B10987	1963-01-01	RE513522	1991-01-02	Chicago Tribune Company|PCW							
					The Washington post and times herald.  Vol. 86, no. 27, Jan. 1, 1963.	B11230	1963-01-01	RE560164	1991-12-23	Washington Post Company|PCW							
					The AA grapevine.  Vol. 19, no. 8, Jan. 1963.	B11661	1963-01-01	RE517664	1991-02-06	AA Grapevine, Inc.|PCW							
					The Congressional digest.  Vol. 42, no. 1, Jan. 1963.	B12744	1963-01-01	RE516444	1991-01-02	Congressional Digest Corporation|PCW							
					Choristers Guild letters.  Vol. 14, no. 5, Jan. 1963.	B12996	1963-01-01	RE546397	1991-10-07	Choristers Guild|PCW							
					Moody's bond survey.  Vol. 55, no. 1.	B13538	1963-01-01	RE544989	1991-09-23	Moody's Investors Service, Inc.|PWH							
					Air Force and space digest.|Air Force magazine.	B13690	1963-01-01	RE527974	1991-02-04	Air Force Association|PWH							
					The Kenyon review.  Vol. 25, no. 1, winter 1963.	B13809	1963-01-01	RE522410	1991-01-28	Kenyon College|PCW							
					Los Angeles times.  Vol. 82, no. 30, Jan. 2, 1963.	B14988	1963-01-01	RE558429	1991-12-24	Times-Mirror Company|PCW							
					Scouting.  Vol. 51, no. 1, Jan. 1963.	B15336	1963-01-01	RE523100	1991-03-07	Boy Scouts of America|PCW							
					Playboy.  Vol. 10, no. 2, Feb. 1963.	B15949	1963-01-01	RE526701	1991-05-06								
					Literary cavalcade.  Vol. 15, no. 4, Jan. 1, 1963.	B19146	1963-01-01	RE537215	1991-07-26	Scholastic, Inc.|PCW							
					Co-ed.  Vol. 8, no. 5, Jan. 1, 1963.	B19147	1963-01-01	RE537216	1991-07-26	Scholastic, Inc.|PCW							
					Scholastic coach.  Vol. 32, no. 5, Jan. 1, 1963.	B19148	1963-01-01	RE537678	1991-08-02	Scholastic, Inc.|PCW							
					Theatre arts; combined with Stage magazine.  Vol. 47, no. 1, Jan. 1963.	B31890	1963-01-01	RE555677	1991-11-25	Samuel R. Ceccarelli|PCW							
					West Virginia history.  Vol. 24, no. 2, Jan. 1963.	B34879	1963-01-01	RE528585	1991-05-03	State of West Virginia, Division of Culture and History, Archives & History|PCW							
				John Cage.	Sounds of Venice.  For solo television performer and tape.	PA526998	1963-01-01	RE549119	1991-10-31	John Cage|A							
				Randolph Stow.	Tourmaline.	TX1291033	1963-01-01	RE564796	1991-02-19	Randolph Stow|A							
				Byron Farwell.	Burton; a biography of Sir Richard Francis Burton.	TX2516360	1963-01-01	RE524185	1991-01-29	Byron Farwell|A							
					Mediterranean nights.  Text: Dennis Wheatley.	TX3196682	1963-01-01	RE581080	1991-12-26	Dennis Anthony Wheatley|C							
				Kerstin Ekman.	Doedsklockan.|The Hunt.	TX3311712	1963-01-01	RE588933	1991-11-22	Kerstin Ekman|A							
					Christmas and the Christ child.	TX3355898	1963-01-01	RE594773	1991-10-28	Gibson Greetings, Inc.|PWH||Helen Steiner Rice Foundation|PWH							
					Drina dances in Madeira.  Text: Jean Estoril, pseud. of Mabel Esther Allan.	UCC work	1963-01-01	RE512831	1991-01-18	Mabel Esther Allan|A							
					The Ballet family.  Text: Mabel Esther Allan.	UCC work	1963-01-01	RE512832	1991-01-18	Mabel Esther Allan|A							
				C. S. Lewis.	Essays on Malory|The English prose Morte.	UCC work	1963-01-01	RE513361	1991-03-19	A. O. Barfield|E						Appearing in Oxford University Press ed. Essays on Malory.	
				J. T. Edson.	Apache rampage.	UCC work	1963-01-01	RE534003	1991-05-13	J. T. Edson|A							
				J. T. Edson.	The Drifter.	UCC work	1963-01-01	RE534005	1991-05-13	J. T. Edson|A							
				J. T. Edson.	The Fastest gun in Texas.	UCC work	1963-01-01	RE534004	1991-05-13	J. T. Edson|A							
				Ronald C. Davison.	Astrology.	UCC work	1963-01-01	RE547332	1991-08-19	Mrs. Ronald C. Davison|W							
					Peter the Wanderer.  Text: Edward Ardizzone.	UCC work	1963-01-01	RE507089	1991-09-05	Christiana Clemence|C							
				Gwyn Griffin.	A Significant experience.	UCC work	1963-01-01	RE583007	1991-11-19	Patricia Griffin|W							
					Big Chief Bunter.  Text: Frank Richards.	UCC work	1963-01-01	RE552245	1991-11-25	Una Hamilton Wright|E							
					Just like Bunter.  Text: Frank Richards.	UCC work	1963-01-01	RE552246	1991-11-25	Una Hamilton Wright|E							
					A Month soon goes.  Text: Storm Jameson.	UCC work	1963-01-01	RE555736	1991-12-20	Christopher Storm-Clark|E							
					Sermo Lupi ad anglos.  Introd. & notes: Dorothy Whitelock.	UCC work	1963-01-01	RE555766	1991-12-31	Dorothy Whitelock|A							
				Elizabeth Kata.	Someone will conquer them.	UCC work	1963-01-01	RE557655	1991-12-31	Elizabeth Kata|A							
				Lancelot Law Whyte.	Focus and diversions.	UCC work	1963-01-01	RE565891	1991-12-31	Eve Whyte|W							
				Frank Buller Howard-White.	Nickel; an historical review.	UCC work	1963-01-01	RE555775	1991-12-31	Frank Buller Howard-White|A							
				Harry Blamires.	The Christian mind.	UCC work	1963-01-01	RE555765	1991-12-20	Harry Blamires|A							
				Malcolm Saville.	A Palace for the Buckinghams.	UCC work	1963-01-01	RE555812	1991-12-06	J. D. Saville|C							
				Malcolm Saville.	Three towers for Tuscany.	UCC work	1963-01-01	RE555813	1991-12-06	J. D. Saville|C							
				Sylvia Thorpe, pseud. of June Sylvia Thimblethorpe.	The Reluctant adventuress; novel.	UCC work	1963-01-01	RE565643	1991-12-23	J. S. Thimblethorpe|A							
				Flora Sandstrom.	Other winters, other springs.	UCC work	1963-01-01	RE557654	1991-12-31	Jan Asa Helen Grahame Cochrane|C							
					The Deadly joker.  Text: Nicholas Blake, pseud. of Cecil Day Lewis.	UCC work	1963-01-01	RE555737	1991-12-20	Jill Day Lewis|W							
					Sally Cray.  Text: Jim Hunter.	UCC work	1963-01-01	RE555738	1991-12-20	Jim Hunter|A							
				John Gardner.	Spin the bottle; bk.	UCC work	1963-01-01	RE578241	1991-12-20	John Gardner|A							
				Sir John Bagot Glubb.	The Empire of the Arabs.	UCC work	1963-01-01	RE566589	1991-12-30	Lady Muriel Rosemary Glubb|W							
				Sir John Bagot Glubb.	The Great Arab conquests.	UCC work	1963-01-01	RE566590	1991-12-30	Lady Muriel Rosemary Glubb|W							
				N. D. Smith.	Winston Churchill.	UCC work	1963-01-01	RE555769	1991-12-31	N. D. Smith|A							
					Sales sheet for D-TAR.	A336303	1963-01-02	RE549126	1991-09-30	NCH Corporation|PWH							
					Promotion and control of industry in postwar France.  Text: John Bernard Sheahan.	A599705	1963-01-02	RE537378	1991-07-29	John Bernard Sheahan|A							
				Milton Isadore Vanger.	Jose Batlle y Ordonez of Uruguay, the creator of his times, 1902-1907.	A599706	1963-01-02	RE507041	1991-09-11	Milton Isadore Vanger|A							
				Harold H. Wagenheim, Matthew Dolkey & Donald G. Kobler.	This is America, 1963.	A599707	1963-01-02	RE553240	1991-11-22	Anne Wagenheim|W||Mark Wagenheim|C||Leonie Aron|C||James Kobler|C||Nancy Storey|C							
				Harold H. Wagenheim, Donald G. Kobler & Matthew Dolkey.	England and the world, 1963.	A599708	1963-01-02	RE559267	1991-12-11	Anne Wagenheim|W||Mark Wagenheim|C||Leonie Aron|C||James Kobler|C||Nancy Storey|C							
				Israel S. Wechsler.	Clinical neurology; with an introduction to the history of neurology.	A599710	1963-01-02	RE539094	1991-08-08	Miriam Linn|C							
				Gertrude E. Cromwell.	The Nurse in the school health program.	A599711	1963-01-02	RE562127	1991-12-19	Gertrude E. Cromwell|A							
				Matthew J. Lynch, Stanley S. Raphael & Leslie D. Mellor.	Medical laboratory technology.	A599712	1963-01-02	RE566315	1991-12-26	Matthew J. Lynch|A||Stanley S. Raphael|A||Leslie D. Mellor|A							
				Edward H. Sauer & Howard Munford Jones.	Short stories, 1963; an anthology for secondary schools.	A599744	1963-01-02	RE564975	1991-12-19	Eleanor Ingersoll|C||Bessie Z. Jones|W							
				Karl Barth.	Evangelical theology; an introduction.	A599745	1963-01-02	RE566402	1991-12-30	Markus Barth|C							
				Richard A. Johnson, Fremont E. Kast & James E. Rosenzweig.	The Theory and management of systems.	A599748	1963-01-02	RE543752	1991-08-26	Fremont E. Kast|A||Richard A. Johnson|A||James E. Rosenzweig|A							
				John Godfrey Saxe, illustrator: Paul Galdone.	John Godfrey Saxe|The Blind men and the elephant.	A599752	1963-01-02	RE547549	1991-08-26	Joane Galdone|E							
				Lilian Moore & Gioia Fiammenghi.	Little Raccoon and the thing in the pool.	A599754	1963-01-02	RE543702	1991-08-14	Lilian Moore|A||Gioia Fiammenghi|A							
				Thomas Gordon Lawrence, Jessie Williams Clemensen, R. Will Burnett, general editor: Paul F. Brandwein.	Your health and saftety.	A599843	1963-01-02	RE534321	1991-07-01	Elmore Hutchins|NK||Paul F. Brandwein|A||R. Will Burnett|A							
					Soldier and civilian in the later Roman Empire.  Text: Ramsay MacMullen.	A599846	1963-01-02	RE544802	1991-09-23	Ramsay MacMullen|A							
					Accounting in Soviet planning and management.  Text: Robert Wellington Campbell.	A599847	1963-01-02	RE544803	1991-09-25	Robert Wellington Campbell|A							
					Social democracy and the St. Petersburg Labor Movement, 1885-1897.  Text: Richard Edgar Pipes.	A599848	1963-01-02	RE546135	1991-09-27	Richard E. Pipes|A							
				Harold H. Wagenheim, Elizabeth Voris Lathrop & Matthew Dolkey.	Exploring life, 1963.	A599850	1963-01-02	RE553239	1991-11-22	Anne Wagenheim|W||Mark Wagenheim|C||Leonie Aron|C							
				Julian Adams & Kenneth Stratton.	Press time: high school journalism.	A599863	1963-01-02	RE560130	1991-11-20	Julian Adams|A||Eileen H. Stratton|W||Lowell D. Stratton|C							
				Richard N. Schmidt and William E. Meyers.	Electronic business data processing.	A599877	1963-01-02	RE534322	1991-07-01	Richard N. Schmidt|A||William E. Meyers|A							
				Henry L. Bockus.	Gastroenterology.  Vol. 1.	A599884	1963-01-02	RE562128	1991-12-19	Barbara B. Lunden|C||Rosalynd Bockus|W							
				Lou Austin (Louis L. Austin)	Why and how I was born.	A599941	1963-01-02	RE559992	1991-11-29	Claire Austin Bellingham|C							
				Field Enterprises Educational Corporation.	The World book encyclopedia.	A599983	1963-01-02	RE565629	1991-12-31	World Book, Inc.|PWH							
				B. Jo Kinnick.	Teacher's manual for Adventures in American literature, laureate edition, with answer key to the test booklet.	A602896	1963-01-02	RE561962	1991-12-19	B. Jo Kinnick|A							
				Egbert W. Nieman.	Tests for Adventures for readers.  Bk. 2.	A602897	1963-01-02	RE562268	1991-08-08	Egbert Nieman|A							
				Elizabeth C. O'Daly (Elizabeth C. O'Daly Stolper)	Tests for Adventures for readers.  Bk. 1.	A602898	1963-01-02	RE521867	1991-12-09	Elizabeth C. Stolper|A							
				Josephine Spear.	Tests for Adventures in English literature.	A602899	1963-01-02	RE561221	1991-12-16	Josephine Spear|A							
				Paul F. Brandwein, Sylvia S. Neivert, Emil J. Piel & Harry H. Williams.	Teaching tests to accompany The Physical world, second edition.	A602901	1963-01-02	RE561963	1991-12-19	Emil J. Piel|A||Harry H. Williams|A||Sylvia Neivert|A||Paul Brandwein|A							
				Evan Lodge & Marjorie Braymer.	Tests for Adventures in reading.	A602902	1963-01-02	RE521868	1991-12-09	Debra Jean Lodge|C||Alice Lodge|C							
					Salary survey, 1962-63 recruiting year.  Report no. 1, Jan. 1963.	A603018	1963-01-02	RE527355	1991-01-23	College Placement Council, Inc.|PCW							
				Thomas O. Nelson.	Atlas--Burke County, North Dakota.	A603313	1963-01-02	RE547316	1991-10-15	Thomas O. Nelson|A							
				Winthrop Still Hudson.	Baptist convictions.	A603474	1963-01-02	RE562212	1991-12-20	Winthrop Still Hudson|A							
				John William Harris.	The Red cell; production, metabolism, destruction--normal and abnormal.	A603806	1963-01-02	RE544804	1991-09-25	John William Harris|A					Prev. reg. Jan. 21, 1962, under A547065.		
				Clarence L. Barnhart.	1963 World book encyclopedia dictionary.	A604083	1963-01-02	RE581087	1991-12-27	World Book, Inc.|PWH							
				staff of the Modern Language Materials Development Center.	Spanish: level one--A-LM--textbook.	A604086	1963-01-02	RE564841	1991-12-26	Harcourt Brace Jovanovich, Inc.|PWH							
				Lee J. Cronbach, consultants: Ernest R. Hilgard & Willard B. Spalding.	Educational psychology.	A604087	1963-01-02	RE521869	1991-12-09	Ernest R. Hilgard|A||Lee J. Cronbach|A||Margaret J. Spalding|C							
				Charles L. Wallis.	1010 sermon illustrations from the Bible.	A604091	1963-01-02	RE543640	1991-08-14	Charles L. Wallis|A							
					Dear Papa.  Text: Thyra Bjorn.	A604094	1963-01-02	RE539033	1991-08-05	Robert J. Bjorn|C||Carolyn B. Barstow|C							
				Gwyn Griffin.	Freedom observed.	A604095	1963-01-02	RE546529	1991-09-10	Patricia V. Griffin|W							
				John Johnston.	Econometric methods.	A604108	1963-01-02	RE543703	1991-08-14	John Johnston|A							
					Instant haute cuisine French cooking, American style.	A604166	1963-01-02	RE552541	1991-11-14	Curtis Publishing Company|PCW							
				Neil Postman, Harold Morine & Greta Morine.	Discovering your language; 1963.	A604183	1963-01-02	RE539095	1991-08-08	Neil Postman|A							
				Ed Bukstein.	Basic servomechanisms, 1963.	A604184	1963-01-02	RE534721	1991-07-05	Henry Holt and Company, Inc.|PWH							
				Evan Lodge & Marjorie Braymer, editor: Mary Rives Bowman, consultant: Herbert Potell.	Adventures in reading.	A604235	1963-01-02	RE561929	1991-12-19	Deborah Jean Lodge|C||Alice Lodge|C||Jeanne M. Shutes|E||Jessica Sand|C||Lydia Winderman|C||Florence E. Potell|W||Mary Rives Bowman|A							
				Elizabeth O'Daly (Elizabeth O'Daly Stolper), Egbert W. Nieman & Mary Rives Bowman (editor), Herbert Potell (consultant)	Adventures for readers.  Bk. 1.	A604236	1963-01-02	RE561964	1991-12-19	Jessica Sand|C||Lydia Winderman|C||Florence E. Potell|W||Mary Rives Bowman|A||Egbert Nieman|A||Elizabeth O'Daly Stolper|A							
				Walter Loban, Rosalind A. Olmsted (Rosalind A. Olmsted Barrett), Mary Rives Bowman (editor), Herbert Potell (consultant)	Adventures in appreciation.	A604237	1963-01-02	RE561965	1991-12-19	Jessica Sand|C||Lydia Winderman|C||Florence E. Potell|W||Rosalind Olmsted Barrett|A||Walter Loban|A||Mary Rives Bowman|A							
				J. B. Priestley & Josephine Spear, editor: Mary Rives Bowman.	Adventures in English literature.	A604238	1963-01-02	RE561930	1991-12-19	Sylvia Goaman|C||Tom Priestley|C||Barbara Priestley|C||Mary Priestley|C||Rachel Littlewood|C||Jacquetta Priestley|W||Mary Rives Bowman|A||Josephine Spear|A							
				John E. Warriner, Mary Evelyn Whitten & Francis Griffith.	English grammar and composition 9.	A604239	1963-01-02	RE521870	1991-12-09	Alison Warriner|C||Jean W. McLemore|C||Kathryn Griffith|W||Audrey A. Welch|E							
				John E. Warriner & John H. Treanor.	English grammar and composition, 7.	A604240	1963-01-02	RE561931	1991-12-19	Alison Warriner|C||Jean W. McLemore|C||John H. Treanor, Jr.|C||Richard B. Treanor|C							
				John E. Warriner & Francis Griffith.	English grammar and composition; complete course.	A604241	1963-01-02	RE561932	1991-12-19	Alison Warriner|C||Jean W. McLemore|C||Kathryn Griffith|W							
				John E. Warriner, Joseph Mersand & Francis Griffith.	English grammar and composition 11.	A604242	1963-01-02	RE521871	1991-12-09	Alison Warriner|C||Jean W. McLemore|C||Kathryn Griffith|W||Estelle J. Mersand|W							
				John E. Warriner & Francis Griffith.	English grammar and composition, 10.	A604243	1963-01-02	RE561933	1991-12-19	Alison Warriner|C||Jean W. McLemore|C||Kathryn Griffith|W							
				John E. Warriner & John H. Treanor.	English grammar and composition, 8.	A604244	1963-01-02	RE561934	1991-12-19	Alison Warriner|C||Jean W. McLemore|C||John H. Treanor, Jr.|C||Richard B. Treanor|C							
				Franzo H. Crawford.	Heat, thermodynamics, and statistical physics.	A604245	1963-01-02	RE564842	1991-12-26	Franzo H. Crawford|A							
				Bertrand M. Wainger, Dorothy W. Furman & Edith Brooks Oagley.	Exploring New York.	A604246	1963-01-02	RE558603	1991-12-06	Stephen Wainger|C||Susan Wainger|C						With 1963 suppl.	
				Clifton Fadiman, Allan A. Glatthorn, general editor: Edmund Fuller.	Five American adventures.	A604247	1963-01-02	RE548590	1991-10-28	Edmund Fuller|A||Allan A. Glatthorn|A							
				Alfred A. Ring.	The Valuation of real estate.	A604258	1963-01-02	RE528278	1991-04-29	Alfred A. Ring|A							
				Duane Acker.	Animal science and industry.	A604261	1963-01-02	RE528279	1991-04-29	Duane Acker|A							
					Ronald encyclopedia of basketball.  Vol. 4.  Compiled and edited by William G. Mokray.	A604266	1963-01-02	RE553110	1991-11-12	William G. Mokray|A							
				Margaret Cabell Self.	Horseback riding simplified.	A604267	1963-01-02	RE558646	1991-12-06	Margaret Cabell Self|A							
				Walter H. Beaman.	Paying taxes to other states; state and local taxation of non-resident businesses.	A604268	1963-01-02	RE553111	1991-11-12	Walter H. Beaman|A							
				Dell Shannon, pseud. of Elizabeth Linington.	Death of a busybody.	A604347	1963-01-02	RE566404	1991-12-31	David M. Turney|E							
				Brian Whitlow.	Hurdles to Heaven.	A604378	1963-01-02	RE543665	1991-08-14	Brian Whitlow|A							
				Stanley Hoffmann, Charles P. Kindleberger & Laurence Wylie.	In search of France.	A604380	1963-01-02	RE544805	1991-09-25	Stanley Hoffmann|A||Charles P. Kindleberger|A||Laurence Wylie|A							
				Albert Love & James Saxon Childers.	Business, an introduction|Listen to leaders in business.	A604383	1963-01-02	RE562131	1991-12-19	Albert Love|A||James Saxon Childer|A					Business, an introduction by Henry Ford, 2nd appeared in part in the Saturday Evening Post.		
				R. C. Smith.	Principles and practices of light construction.	A604385	1963-01-02	RE534364	1991-05-13	Grace Smith|W							
				Andrew J. Coppola & Harry Katz.	Business law; a CPA review.	A604388	1963-01-02	RE563236	1991-12-23	Judith R. Coppola|W||Harry Katz|A							
				Myron Matlaw & Leonard Lief.	Story and critic.	A604410	1963-01-02	RE537458	1991-08-05	Myron Matlaw|A||Leonard Lief|A							
				Donald Vernon McKay.	Africa in world politics.	A604411	1963-01-02	RE561388	1991-12-16	Vernon McKay|A							
				Gerald M. Meier.	International trade and development.	A604412	1963-01-02	RE566087	1991-12-26	Gerald M. Meier|A							
				Giles Wilkeson Gray and Waldo Warder Braden.	Public speaking: principles and practice.	A604413	1963-01-02	RE561272	1991-12-16	Wilkeson Gray|A							
				Harold H. Wagenheim, Elizabeth Voris Lathrop & Matthew Dolkey.	Ourselves and others, 1963.	A604416	1963-01-02	RE553238	1991-11-22	Anne Wagenheim|W||Mark Wagenheim|C||Leonie Aron|C							
				Paul Horst.	Matrix algebra for social scientists.	A604417	1963-01-02	RE534323	1991-07-01	Paul Horst|A							
				F. Gordon Smith.	Physical geochemistry.	A604452	1963-01-02	RE555354	1991-11-27	Mrs. F. Gordon Smith|W							
				Douglas Ehninger, Wayne Brockriede.	Decision by debate.	A604475	1963-01-02	RE559073	1991-12-04	Wayne Brockriede|A							
				Louis L. Pennisi.	Elements of complex variables.	A604488	1963-01-02	RE521961	1991-12-12	Louis L. Pennisi|A							
					Kingside.  Text: Ysabel Rennie.	A604489	1963-01-02	RE539043	1991-08-05	Ysabel Rennie|A							
				Mervin L. Keedy, Richard E. Jameson & Patricia L. Johnson.	Exploring modern mathematics.  Bk. 1.	A604490	1963-01-02	RE549999	1991-10-31	Patricia L. Johnson|A||Mervin L. Keedy|A							
				J. J. Marric, pseud. of John Creasey.	Gideon's ride.|New Strand magazine.	A604547	1963-01-02	RE563283	1991-12-24	Diana Creasey|W||Richard J. Creasey|C||Colin J. Creasey|C||Martin J. Creasey|C					Portions of material were prev. pub. abroad in New Strand magazine.		
				Helen M. Robinson, Marion Cox & A. Sterl Artley.	Friends old and new.	A604560	1963-01-02	RE507053	1991-09-09	Scott, Foresman, and Company|PWH							
				Robert C. Pooley, Albert H. Grommon & Edythe Daniel.	Wide, wide world.	A604561	1963-01-02	RE507054	1991-09-09	Scott, Foresman, and Company|PWH							
				Robert C. Pooley, Albert H. Grommon & Edythe Daniel.	All around America.	A604562	1963-01-02	RE507055	1991-09-09	Scott, Foresman, and Company|PWH							
				C. S. Hammond & Company.	The New world atlas.	A604629	1963-01-02	RE523994	1991-02-04	Hammond, Inc.|PWH							
					A People among peoples; Quaker benevolence in eighteenth-century America.	A604674	1963-01-02	RE539053	1991-08-05	Sydney Vincent James, Jr.|A							
				Frank M. Morgan, Burnham L. Paige.	Algebra 1.	A604675	1963-01-02	RE534750	1991-07-08	Millett G. Morgan|C||Burnham L. Paige|A							
				Harold H. Wagenheim, Eleanor L. McGehan & Margaret Thomas.	New trails, 1963.	A604676	1963-01-02	RE553365	1991-11-22	Anne Wagenheim|W||Mark Wagenheim|C||Leonie Aron|C							
				Marshall B. Clinard.	Sociology of deviant behavior.	A604677	1963-01-02	RE534324	1991-07-01	Marshall Clinard|A							
				Neil Postman, Harold Morine & Greta Morine.	Discovering your language.	A604678	1963-01-02	RE539096	1991-08-08	Neil Postman|A							
				William Wise.	Alexander Hamilton.	A604690	1963-01-02	RE530316	1991-04-19	William Wise|A							
				Fan Kissen & Nancy Plummer.	The Golden goose and other plays.	A604700	1963-01-02	RE534650	1991-06-24	John Kissen Heaslip|NK							
					Transistor circuit design.	A604704	1963-01-02	RE543704	1991-08-14	Texas Instruments, Inc.|PWH							
				Sam Huff with Don Smith.	Defensive football.	A604713	1963-01-02	RE553114	1991-11-12	Sam Huff|A||Don Smith|A							
				Willard Price.	African adventure; book.	A604745	1963-01-02	RE543671	1991-02-19	Mary V. Price|W							
				Willard Price.	African adventure.	A604745	1963-01-02	RE534940	1991-07-17	Willard Price|A							
				George F. Simmons.	Introduction to topology and modern analysis.	A604759	1963-01-02	RE543705	1991-08-14	George F. Simmons|A							
				Irving Kaplan.	Nuclear physics.	A604767	1963-01-02	RE526871	1991-02-25	Irving Kaplan|A							
				Orest Starchuk & Hubert Chanal.	Essentials of scientific Russian.	A604768	1963-01-02	RE548246	1991-10-21	Anna Starchuk|W							
				John F. Lee & Francis W. Sears.	Thermodynamics, an introductory text for engineering students.	A604770	1963-01-02	RE548143	1991-10-10	John F. Lee|A							
				Thomas F. Morrison, Frederick D. Cornett & J. Edward Tether.	Human physiology, 1963.	A604844	1963-01-02	RE540963	1991-08-12	Frederick D. Cornett|A||J. Edward Tether|A							
				Richard Maxwell Brown.	The South Carolina regulators.	A604873	1963-01-02	RE555791	1991-10-28	Richard Maxwell Brown|A							
				Robert Freier & Arnold Lazarus.	Teacher's manual and answer key to reading tests, Adventures in modern literature, fifth edition.	A605052	1963-01-02	RE539933	1991-08-08	Arnold Lazarus|A||Robert Freier|A							
				Thomas F. Morrison.	Human physiology.|Human reproduction, 1963.	A605054	1963-01-02	RE561675	1991-12-19	Thomas F. Morrison|A						Pamphlet to supplement Human physiology.	
				Leona E. Tyler.	Tests and measurements.	A605566	1963-01-02	RE528280	1991-04-29	Leona E. Tyler|A							
				B. Jo Kinnick.	Tests for Adventures in American literature.	A605610	1963-01-02	RE564843	1991-12-26	B. Jo Kinnick|A							
				C. H. Sorum.	How to solve general chemistry problems.  Vol. 3/e.	A605966	1963-01-02	RE528282	1991-04-29	Emma Lou Sorum|W							
				J. P. Miller and David Westheimer.	Days of wine and roses.	A606121	1963-01-02	RE536349	1991-05-09	David Westheimer|A							
					The Nurses.	A606123	1963-01-02	RE523029	1991-04-16	CBS, Inc.|PWH							
					The Nurses.	A606123	1963-01-02	RE536431	1991-07-16	CBS, Inc.|PWH							
