entry_id	volume	part	number	page	auth	titl	oreg	odat	id	dreg	claimants	previous	new_matter	see_also_ren	see_also_reg	note	full_text
f1d4162a-eb0d-5d95-cf8a-0aac33e3166c					Donald E. Demaray.	A Pulpit manual.	A451857	1950-02-06	RE327218	1987-02-02	Donald E. Demaray|A					In notice: 1959	
5d3276c5-857c-1c72-a4a1-26ac241b6831					Harold W. Davey.	Contemporary collective bargaining.	A376998	1959-02-10	RE344465	1987-05-07	William R. Davey|C	Prev. pub.|1951-06-25|A56790					
ea10dfee-8e55-603c-bef6-bea047f041f1					William C. Cottle.	Life adjustment scale no. 1|School interest inventory.	A387110	1959-03-01	RE357520	1987-12-01	William C. Cottle|A					Prev. version entitled, Life adjustment scale no. 1, 1Oct53, no. 117378.	
3fa9c312-0854-90db-fa5c-81db4740d447					Janet Rogers Howe.	Star, an Irish wolfhound.	A384196	1956-03-16	RE338893	1987-03-16	Janet Rogers Howe|A						
d14c98e9-313f-0f7b-9c98-87533fcf93fd						Reports of cases argued and determined in the Superior Court, et cetera, of the state of New Jersey; index, synopsis, key number character, and syllabi.  Vol. 53.	A391751	1957-05-18	RE343181	1987-07-01	West Publishing Company|PWH						
39c44935-66a9-dfd1-d412-b68b06a8ab2b					John Creasey.	Accident for Inspector West|Hit and run.	A417996	1959-10-09	RE362991	1987-12-23	Diana Creasey|W||Colin J. Creasey|C||Martin J. Creasey|C||Richard J. Creasey|C	American ed. of a work prev. pub. in England as Accident for Inspector West, reg.|1957-06-20|AIO-7888					
9e12089a-9cee-7bd3-7383-12f824923f69					Jeremy York, pseud. of John Creasey.	Come here and die.|Death of a stranger	A416742	1959-10-12	RE362986	1987-12-23	Diana Creasey|W||Colin J. Creasey|C||Martin J. Creasey|C||Richard J. Creasey|C	American ed. of a work prev. pub. abroad under title: Death of a stranger by Michael Halliday, reg.|1957-09-12|AIO-8178					
49672e96-6391-2885-257c-0af7db9b712e					Roger H. Garrison.	The Adventure of learning in college.	A375067	1958-01-28	RE362387	1987-12-28	Richard H. Garrison|C||Jeffrey H. Garrison|C||David Robert Garrison|C						
267d48db-59c0-93de-26a2-612348fa508f						Gunsmoke.  No. 16, Aug.-Sept. 1959.	B797356	1958-06-23	RE326775	1987-01-30	B. S. Inc|PCW						
b4ea777d-f311-e010-e2fc-81600cbdab3e					Norman A. Fox.	Rope the wind.	A360358	1958-10-20	RE319188	1987-02-24	Richard C. Fox|NK						
b98e3009-99ee-708b-a1a0-6c29d164d35b					William Charvat.	Literary publishing in America, 1790-1850.	A424758	1958-12-28	RE364109	1987-12-29	William Charvat|A						
068bcbc2-d59d-1805-4da1-1ad08dfa1ab7						The New republic.  Vol. 140, no. 1, Jan. 5, 1959.	B749457	1958-12-30	RE338353	1987-05-08	New Republic, Inc.|PCW						
d8eaf079-bd95-3486-9e7d-1f29e5419cd9					Andrew Garve, pseud. of Paul Winterton.	The Galloway case.	A379029	1959-01-07	RE357993	1987-12-04	Andrew Garve|A	Pub. abroad|1958-12-06|AI-6133				renewed as RE 307-059.	
adffe195-08ce-f03b-2cf2-42620f96dc50					Sally Belfrage.	A Room in Moscow.	A377030	1959-02-10	RE334272	1987-03-23	Sally Belfrage|A	Pub. abroad|1958-10-17|AI-6094				renewed RE 280-792.	
e60d521b-be32-4427-d2a8-0b38d1410a7f					Saul Bellow.	Henderson the Rain King.|The Hudson review , spring 1958	A378585	1959-02-23	RE324866	1987-01-16	Saul Bellow|A					Shorter version of ch. 1-4 prev. pub. in The Hudson review , spring 1958|Shorter version of ch. 11-14 prev. pub. in Bottehe oscure, Rome, spring 1958 & prev. reg. as Henderson in Africa, 21May58, AI5937.	
9878958b-b462-20c6-86b4-88369c7006b1					John S. Daniels, pseud. of Wayne D. Overholser.	Toronto star weekly|Ute country.	A384063	1959-02-26	RE336860	1987-03-27	Wayne D. Overholser|A	Expanded version of story originally pub. in the Toronto star weekly & reg.|1958-08-23|AI-6015					
8f7226ed-5222-3acf-bcb6-f220735f4b6b					Andrew Garve, pseud. of Paul Winterton.	A Hero for Leanda.	A406339	1959-08-19	RE348137	1987-09-14	Paul Winterton|A	Prev. pub.|1958-10-18|AI-6105				renewed as RE 304-566.	
8bd44288-7cb1-7d9e-400c-5dd2e62f13e1					George Russell Howerton & Donald Joseph McGinn.	Literature as a fine art.	A369278	1959-01-01	RE354892	1987-11-17	George Russell Howerton|A						
6143765d-b333-5438-fe0c-98d9a87db8d3					Harlan H. Barrows, Edith P. Parker, and Clarence W. Sorensen.	Old World lands.	A369993	1959-01-01	RE338675	1987-05-29	Edna Sorensen|W						
40f05539-c6bc-b588-85bd-19a576040dc7					Clarence W. Sorensen.	A World view.	A369994	1959-01-01	RE338676	1987-05-29	Edna Sorensen|W						
6369410a-56a5-de7f-bfe9-0d34b03bcd5d					Harlan H. Barrows, Edith P. Parker, and Clarence W. Sorensen.	The American continents.	A371073	1959-01-01	RE338677	1987-05-29	Edna Sorensen|W						
64b0c282-e169-2540-a22d-abfb36c95431					Harlan H. Barrows, Edith P. Parker, and Clarence W. Sorensen.	Our big world.	A371074	1959-01-01	RE338678	1987-05-29	Edna Sorensen|W						
b376c628-9daa-cea0-2e1f-5bb4831c4a1c					E. B. DeSauze.	Nouveau cours pratique de francais pour commencants.	A371108	1959-01-01	RE354242	1987-11-23	Oliver DeSauze Deex|NK						
a74b404c-792c-3d11-7588-762ab5f60135						King Features weekly.	A374665	1959-01-01	RE354437	1987-12-01	King Features Syndicate, Inc.|PCW						
f02d6c53-4dc3-d62d-2c1b-8640ebd0d758						King Features illustrated weekly.	A374670	1959-01-01	RE354442	1987-12-01	King Features Syndicate, Inc.|PCW						
2c48bf71-e9c1-6ea7-3ff0-00dee3da4b99						Ripley's Believe it or not!; cartoon feature.  Cartoon drawing and text: Paul Frehm.	A374670	1959-01-01	RE361176	1987-12-16	Ripley International, Inc.|PWH						
d109c2ec-5f1d-ef35-e794-872b5a6c51e8					E. B. DeSauze.	Nouveau cours pratique de francais pour commencants.	A380231	1959-01-01	RE354243	1987-11-23	Oliver DeSauze Deex|NK						
7886c712-1b2d-505e-feb9-ee20cb00cae0					E. B. DeSauze, rev. by Eugene K. Dawson.	Un Peu de tout.  Second French reader.	A380232	1959-01-01	RE354244	1987-11-23	Oliver DeSauze Deex|NK						
bbd2b118-d9fa-36a1-4654-ac433dc069a0					E. B. DeSauze.	Nouveau cours pratique de francais.|The Cleveland plan for the teaching of modern languages, with special reference to French.	A381063	1959-01-01	RE354245	1987-11-23	Oliver DeSauze Deex|NK						
